payment_id,amount,previous_failures,customer_history,failure_reason,payment_method,retry_count,customer_age_days,time_of_day,day_type,recovered
PAY00067,2602.17,0,1,transaction_limit,Net Banking,1,1234,1,weekday,0
PAY00276,4858.51,1,1,bank_server_error,Card,0,545,23,weekend,1
PAY00068,2362.6,1,1,card_declined,UPI,0,879,8,weekend,1
PAY00319,8116.58,2,1,risk_declined,Card,1,125,15,weekend,0
PAY00549,6382.66,1,1,insufficient_funds,Card,0,604,12,weekday,0
PAY00999,3911.47,6,1,insufficient_funds,UPI,1,518,4,weekday,0
PAY00715,2926.12,1,1,network_error,UPI,3,1176,9,weekday,1
PAY00754,19969.48,1,1,network_error,UPI,2,798,22,weekend,1
PAY00328,3306.38,2,1,authentication_failed,Card,2,355,17,weekend,1
PAY00383,896.59,5,1,insufficient_funds,Net Banking,1,1133,8,weekend,0
PAY00452,4707.81,1,1,network_error,Card,0,171,3,weekday,1
PAY00523,10893.65,0,1,bank_server_error,UPI,0,120,5,weekday,1
PAY00219,3069.25,1,1,insufficient_funds,UPI,0,1237,7,weekday,0
PAY00788,2945.52,2,0,insufficient_funds,Card,2,623,22,weekday,0
PAY00437,2223.2,0,0,card_declined,UPI,0,1410,16,weekday,0
PAY00765,4675.97,0,0,network_error,UPI,1,212,22,weekday,0
PAY00089,5266.67,0,1,insufficient_funds,UPI,1,433,10,weekday,0
PAY00064,5760.66,2,1,customer_cancelled,Wallet,2,804,4,weekday,1
PAY00827,3593.2,0,1,network_error,Card,1,557,23,weekday,1
PAY00717,926.64,0,1,bank_server_error,Net Banking,0,654,5,weekday,1
PAY00352,7187.61,1,1,insufficient_funds,UPI,0,681,11,weekend,0
PAY00937,1315.91,5,1,insufficient_funds,Net Banking,3,629,13,weekday,0
PAY00257,5064.8,0,1,expired_card,Wallet,0,227,8,weekend,0
PAY00636,2744.16,2,1,bank_server_error,UPI,0,489,10,weekday,1
PAY00645,2627.51,2,0,transaction_limit,Card,0,314,19,weekday,0
PAY00555,3250.25,1,1,risk_declined,Card,2,262,6,weekday,0
PAY00960,4951.02,1,0,insufficient_funds,UPI,1,136,6,weekday,0
PAY00169,3063.69,2,1,insufficient_funds,UPI,1,2236,13,weekday,0
PAY00918,5489.1,1,1,network_error,Card,0,677,15,weekday,1
PAY00529,4359.06,2,1,customer_cancelled,Card,0,893,1,weekday,0
PAY00824,579.03,1,1,bank_server_error,UPI,0,789,23,weekday,1
PAY00986,5989.14,2,1,timeout,UPI,0,680,4,weekday,1
PAY00817,2486.98,1,1,transaction_limit,Card,0,863,4,weekday,0
PAY00087,2348.49,2,1,insufficient_funds,Card,1,892,1,weekday,0
PAY00433,3130.96,2,1,insufficient_funds,UPI,0,1108,14,weekday,0
PAY00185,5038.99,0,1,card_declined,Card,1,214,12,weekday,0
PAY00979,1049.64,2,1,expired_card,Net Banking,0,410,22,weekday,0
PAY00535,924.84,2,0,insufficient_funds,UPI,0,623,7,weekday,0
PAY00295,2861.77,1,1,card_declined,UPI,1,1338,19,weekday,0
PAY00893,2473.5,3,1,network_error,Net Banking,1,154,14,weekday,0
PAY00426,2581.7,1,1,card_declined,UPI,2,52,3,weekday,1
PAY00714,3464.23,0,0,card_declined,UPI,1,1209,8,weekday,0
PAY00261,2858.55,0,1,network_error,Card,3,896,3,weekend,0
PAY00238,3048.03,0,1,customer_cancelled,UPI,1,918,1,weekday,1
PAY00560,1644.25,2,1,bank_server_error,Card,0,309,18,weekday,0
PAY00584,1406.99,1,0,authentication_failed,Card,2,1280,4,weekday,1
PAY00446,997.44,1,1,insufficient_funds,UPI,0,551,21,weekday,1
PAY00868,2476.54,0,0,authentication_failed,Wallet,0,2365,18,weekend,1
PAY00801,1706.55,0,0,transaction_limit,Card,0,387,9,weekday,1
PAY00600,774.18,0,1,expired_card,UPI,0,340,1,weekday,0
PAY00850,7975.79,1,1,network_error,Card,0,466,17,weekend,1
PAY00266,8277.75,1,1,risk_declined,Card,0,346,16,weekend,0
PAY00996,4723.62,1,0,insufficient_funds,UPI,1,497,18,weekday,1
PAY00530,13233.79,1,0,insufficient_funds,Card,0,439,7,weekday,0
PAY00056,2033.42,0,0,network_error,UPI,1,301,11,weekday,1
PAY00121,1466.37,1,1,risk_declined,Card,1,519,14,weekday,0
PAY00216,8207.98,3,1,authentication_failed,Card,2,417,22,weekday,0
PAY00026,2594.64,1,1,card_declined,Card,1,554,5,weekday,0
PAY00073,1601.96,1,0,expired_card,Card,1,253,20,weekday,0
PAY00045,3864.94,3,1,network_error,UPI,1,836,23,weekday,1
PAY00248,16678.82,1,1,risk_declined,Card,0,615,23,weekday,1
PAY00722,9130.12,0,0,transaction_limit,Card,0,626,16,weekend,0
PAY00282,794.43,1,0,card_declined,UPI,2,1300,8,weekday,0
PAY00894,3616.68,3,1,insufficient_funds,Card,1,1149,21,weekday,0
PAY00915,8101.57,1,1,bank_server_error,UPI,2,136,5,weekday,1
PAY00811,2947.6,0,1,authentication_failed,Card,1,588,20,weekend,1
PAY00245,21383.57,6,1,insufficient_funds,Wallet,3,567,6,weekday,0
PAY00823,1303.42,0,1,timeout,UPI,1,565,3,weekday,1
PAY00322,2976.39,2,1,customer_cancelled,UPI,1,1394,14,weekend,0
PAY00644,4050.86,3,1,customer_cancelled,UPI,1,574,16,weekday,1
PAY00159,2289.56,1,1,customer_cancelled,UPI,1,416,4,weekday,0
PAY00978,2465.21,1,1,timeout,UPI,1,571,5,weekday,1
PAY00430,4887.43,0,1,timeout,UPI,0,1319,16,weekday,1
PAY00942,7434.99,0,1,risk_declined,Net Banking,0,619,11,weekday,0
PAY00463,906.31,4,1,authentication_failed,UPI,1,994,11,weekday,1
PAY00310,15259.89,2,1,timeout,UPI,1,1222,9,weekday,1
PAY00698,1542.91,2,1,card_declined,Card,2,129,21,weekend,1
PAY00061,837.21,4,1,transaction_limit,Card,1,1167,0,weekday,1
PAY00885,1381.87,0,1,network_error,Card,1,474,11,weekend,1
PAY00596,2441.71,1,1,authentication_failed,UPI,0,772,20,weekday,1
PAY00768,2181.47,0,0,customer_cancelled,Card,1,1095,20,weekday,0
PAY00650,2511.47,1,1,insufficient_funds,UPI,1,588,8,weekday,0
PAY00651,16834.23,1,1,card_declined,Card,0,883,16,weekday,1
PAY00866,7093.22,1,1,network_error,UPI,1,1076,22,weekday,1
PAY00669,2244.43,1,1,card_declined,Card,1,1079,0,weekday,0
PAY00299,786.27,1,1,bank_server_error,UPI,1,696,12,weekday,1
PAY00690,2439.29,0,1,network_error,UPI,0,404,21,weekend,0
PAY00315,7074.9,0,1,timeout,UPI,1,250,14,weekday,0
PAY00311,9521.6,2,0,timeout,UPI,0,468,1,weekday,0
PAY00362,4848.4,1,1,timeout,Card,1,845,11,weekday,1
PAY00480,31841.98,1,1,network_error,UPI,2,885,23,weekday,1
PAY00111,5063.32,3,0,risk_declined,Card,0,788,21,weekend,0
PAY00990,2321.91,0,0,authentication_failed,UPI,2,1557,4,weekday,0
PAY00487,1804.35,1,1,transaction_limit,Net Banking,1,657,8,weekday,0
PAY00364,1423.34,2,1,network_error,UPI,1,656,15,weekend,1
PAY00255,2841.34,1,1,network_error,UPI,0,879,22,weekday,1
PAY00260,1087.74,0,1,authentication_failed,UPI,1,492,14,weekday,1
PAY00803,4691.15,3,1,transaction_limit,UPI,1,171,9,weekend,1
PAY00678,5002.43,1,1,card_declined,Net Banking,0,173,22,weekday,1
PAY00495,2692.29,1,0,network_error,UPI,4,706,13,weekday,1
PAY00671,6820.14,0,1,timeout,Card,0,526,9,weekend,1
PAY00378,637.48,0,1,expired_card,Card,2,462,1,weekday,0
PAY00527,12055.87,4,1,risk_declined,UPI,2,381,22,weekday,0
PAY00846,4775.11,1,1,transaction_limit,Card,1,587,1,weekday,0
PAY00138,7136.13,0,1,bank_server_error,Card,4,825,7,weekday,0
PAY00356,4266.14,0,1,network_error,UPI,1,540,17,weekday,1
PAY00366,12329.57,0,1,card_declined,UPI,1,553,16,weekday,0
PAY00943,5311.71,1,1,expired_card,UPI,0,542,12,weekday,0
PAY00750,1638.21,1,1,card_declined,Net Banking,2,456,22,weekday,1
PAY00949,4846.3,1,0,network_error,UPI,1,811,12,weekend,0
PAY00830,360.9,1,1,risk_declined,Net Banking,1,855,1,weekday,0
PAY00657,1672.09,1,1,expired_card,Card,1,2683,20,weekday,1
PAY00200,3046.02,1,1,bank_server_error,Net Banking,0,556,3,weekday,1
PAY00214,2319.19,3,1,card_declined,UPI,2,420,10,weekday,1
PAY00409,643.18,1,1,timeout,UPI,0,99,10,weekday,0
PAY00333,1932.22,0,1,network_error,UPI,1,743,18,weekday,1
PAY00209,1659.2,1,0,card_declined,Card,0,238,15,weekend,1
PAY00614,5114.79,1,1,expired_card,Card,1,1177,19,weekday,0
PAY00079,5956.69,2,1,network_error,UPI,1,386,6,weekday,1
PAY00030,5047.84,2,1,timeout,UPI,1,1667,22,weekday,1
PAY00536,6017.15,1,1,authentication_failed,Card,1,1124,14,weekend,1
PAY00696,1799.86,1,1,network_error,UPI,0,339,11,weekday,1
PAY00558,1455.49,1,0,card_declined,UPI,1,750,8,weekend,0
PAY00837,2652.33,1,1,customer_cancelled,UPI,1,1599,9,weekday,0
PAY00597,2248.5,1,0,insufficient_funds,UPI,0,746,6,weekend,0
PAY00166,1624.62,2,1,network_error,Card,1,1210,9,weekday,0
PAY00919,11152.65,0,0,bank_server_error,UPI,0,839,10,weekday,1
PAY00496,7752.21,0,1,network_error,UPI,0,871,6,weekday,1
PAY00825,719.06,2,1,card_declined,Net Banking,3,367,15,weekday,0
PAY00066,6869.62,0,1,authentication_failed,Card,0,276,6,weekend,1
PAY00142,1509.31,2,1,insufficient_funds,Card,1,241,1,weekend,0
PAY00926,17332.99,1,1,expired_card,UPI,1,892,13,weekday,1
PAY00828,3167.03,1,0,customer_cancelled,Card,0,441,13,weekday,1
PAY00656,4591.71,3,1,insufficient_funds,UPI,1,531,14,weekend,0
PAY00332,6017.47,0,0,bank_server_error,UPI,2,641,23,weekday,0
PAY00665,3265.5,0,0,bank_server_error,UPI,0,565,8,weekday,1
PAY00250,1292.96,2,1,timeout,UPI,0,704,5,weekday,1
PAY00908,1182.11,0,1,card_declined,UPI,0,1433,14,weekday,1
PAY00709,2899.27,1,1,insufficient_funds,Card,2,243,3,weekday,0
PAY00306,1430.18,0,1,card_declined,Net Banking,1,429,8,weekday,1
PAY00735,4433.48,1,0,insufficient_funds,UPI,3,190,22,weekday,0
PAY00976,1443.99,1,1,authentication_failed,UPI,1,614,18,weekday,0
PAY00050,3706.93,3,0,insufficient_funds,UPI,0,174,15,weekend,0
PAY00897,1970.23,1,1,authentication_failed,Card,1,601,23,weekday,0
PAY00003,6623.65,0,0,network_error,UPI,1,555,12,weekday,1
PAY00545,2821.85,1,1,card_declined,Card,2,1733,5,weekday,0
PAY00351,4786.82,2,1,bank_server_error,Card,1,668,8,weekday,0
PAY00905,2062.43,2,1,card_declined,Card,1,761,7,weekday,1
PAY00537,2214.01,2,1,risk_declined,UPI,0,778,22,weekday,0
PAY00345,13825.87,1,1,network_error,Card,1,273,15,weekday,1
PAY00995,3188.3,2,1,card_declined,UPI,0,189,1,weekday,1
PAY00482,11834.22,1,1,authentication_failed,Net Banking,1,1171,11,weekend,0
PAY00576,1016.3,3,1,card_declined,Net Banking,0,456,16,weekend,1
PAY00034,1752.52,1,1,network_error,Card,1,439,7,weekday,1
PAY00032,2477.65,1,1,card_declined,Card,1,714,2,weekday,1
PAY00232,2118.4,2,0,risk_declined,UPI,1,909,18,weekday,0
PAY00964,3188.32,1,1,customer_cancelled,Card,0,251,18,weekend,0
PAY00193,2527.05,2,1,network_error,Card,0,140,20,weekday,1
PAY00334,1478.61,0,1,customer_cancelled,UPI,0,408,0,weekend,0
PAY00004,7785.34,0,1,card_declined,Card,1,897,17,weekday,1
PAY00205,612.7,0,0,authentication_failed,UPI,1,995,10,weekday,1
PAY00515,6854.79,4,1,network_error,Card,0,557,4,weekday,0
PAY00800,3617.7,1,1,insufficient_funds,Card,1,388,16,weekday,1
PAY00307,2633.93,5,1,bank_server_error,UPI,1,621,4,weekday,0
PAY00110,806.17,1,1,network_error,Net Banking,0,156,12,weekend,1
PAY00431,1445.28,0,0,expired_card,Card,1,721,20,weekend,0
PAY00078,4004.91,2,0,timeout,Net Banking,0,623,16,weekday,0
PAY00085,1266.55,0,1,card_declined,UPI,0,1037,6,weekday,1
PAY00287,4379.45,0,1,bank_server_error,UPI,2,573,4,weekend,1
PAY00083,2570.67,2,1,insufficient_funds,Card,2,1210,12,weekend,0
PAY00992,12306.73,0,0,card_declined,Card,0,958,19,weekend,0
PAY00790,3078.27,3,0,insufficient_funds,UPI,1,463,13,weekend,0
PAY00895,2685.26,0,1,timeout,UPI,3,1889,12,weekend,1
PAY00399,5492.14,1,0,insufficient_funds,UPI,0,860,21,weekend,0
PAY00324,6626.0,0,0,bank_server_error,Card,1,298,22,weekend,1
PAY00520,13976.25,1,1,insufficient_funds,Card,0,561,23,weekday,0
PAY00917,11865.32,2,1,bank_server_error,Card,2,794,1,weekend,0
PAY00923,3873.29,1,1,network_error,Wallet,2,646,1,weekend,1
PAY00006,1157.09,0,1,customer_cancelled,UPI,0,829,6,weekend,1
PAY00732,3677.73,0,1,insufficient_funds,Card,3,854,11,weekday,1
PAY00466,2370.0,2,1,bank_server_error,UPI,0,263,15,weekday,1
PAY00098,1499.46,1,1,network_error,UPI,0,304,17,weekday,1
PAY00267,3994.34,1,1,timeout,UPI,0,592,4,weekday,1
PAY00358,4404.18,3,1,risk_declined,UPI,0,551,11,weekday,0
PAY00869,2128.93,1,1,card_declined,UPI,2,409,14,weekday,1
PAY00799,8370.59,0,0,card_declined,UPI,1,744,13,weekday,1
PAY00381,3836.12,2,1,bank_server_error,Net Banking,0,929,21,weekday,1
PAY00632,30559.99,2,1,card_declined,UPI,1,1395,10,weekend,0
PAY00382,10653.42,2,1,card_declined,Card,1,1113,19,weekday,0
PAY00491,8804.45,2,0,risk_declined,UPI,1,531,15,weekday,0
PAY00119,13657.31,3,1,network_error,Card,3,778,16,weekday,0
PAY00901,4874.42,3,1,network_error,UPI,1,1091,16,weekday,1
PAY00251,2559.34,0,1,insufficient_funds,Card,1,899,4,weekday,1
PAY00524,2974.63,1,1,bank_server_error,UPI,1,768,21,weekday,1
PAY00010,1694.99,0,1,card_declined,Card,0,455,20,weekday,0
PAY00197,6047.17,0,1,network_error,UPI,0,955,10,weekend,1
PAY00604,2053.02,1,1,card_declined,Card,3,141,10,weekday,1
PAY00082,1993.97,0,0,bank_server_error,Wallet,1,531,16,weekday,1
PAY00784,7484.58,1,1,network_error,UPI,1,524,19,weekday,1
PAY00588,1717.58,0,1,authentication_failed,UPI,1,651,6,weekday,1
PAY00798,8611.54,0,1,network_error,UPI,0,849,19,weekday,1
PAY00240,2231.65,0,1,authentication_failed,UPI,1,855,15,weekend,0
PAY00291,2825.21,0,1,bank_server_error,Card,0,123,18,weekday,1
PAY00212,1133.52,3,0,network_error,UPI,0,620,20,weekend,0
PAY00718,6269.21,1,0,insufficient_funds,UPI,0,741,3,weekday,0
PAY00360,3087.51,1,1,insufficient_funds,Card,0,253,16,weekend,1
PAY00450,4848.33,1,0,risk_declined,Net Banking,3,545,22,weekday,0
PAY00228,17254.64,1,0,expired_card,Card,3,358,3,weekday,0
PAY00951,808.82,1,0,network_error,Card,0,802,7,weekday,1
PAY00947,4656.33,1,1,bank_server_error,UPI,1,213,0,weekday,1
PAY00797,8158.9,0,0,network_error,UPI,0,1375,15,weekday,1
PAY00502,7490.76,0,1,network_error,UPI,2,1218,2,weekday,0
PAY00465,1353.9,0,1,transaction_limit,UPI,0,768,23,weekday,1
PAY00363,8187.54,2,1,transaction_limit,Card,2,464,7,weekday,1
PAY00469,8960.78,0,1,risk_declined,UPI,0,421,18,weekday,0
PAY00936,5776.96,2,0,network_error,UPI,1,195,23,weekday,0
PAY00429,1081.02,2,0,insufficient_funds,UPI,0,469,12,weekend,0
PAY00008,2675.02,2,0,card_declined,Card,0,208,15,weekend,1
PAY00156,15728.96,0,1,network_error,Card,2,308,7,weekday,1
PAY00542,1734.06,2,1,customer_cancelled,Net Banking,2,452,20,weekday,0
PAY00441,2979.95,1,1,network_error,UPI,1,799,4,weekday,1
PAY00483,3783.14,1,1,risk_declined,Card,0,1188,16,weekday,0
PAY00423,2111.76,5,0,bank_server_error,UPI,1,262,20,weekday,1
PAY00779,3684.34,1,0,bank_server_error,UPI,1,872,6,weekend,1
PAY00950,157.49,4,1,card_declined,UPI,3,500,17,weekday,1
PAY00335,3598.9,0,1,card_declined,UPI,0,1110,23,weekday,0
PAY00577,10897.37,0,0,transaction_limit,Card,1,402,17,weekday,1
PAY00935,4553.7,1,1,network_error,Card,0,171,14,weekday,1
PAY00568,2009.3,1,1,timeout,UPI,2,168,15,weekday,0
PAY00595,1178.04,1,0,insufficient_funds,UPI,1,125,16,weekday,1
PAY00531,2573.48,2,1,insufficient_funds,UPI,1,589,13,weekday,0
PAY00582,1309.79,1,1,authentication_failed,UPI,0,496,9,weekday,1
PAY00708,5626.74,3,1,timeout,UPI,0,443,12,weekday,1
PAY00449,9026.52,1,0,timeout,Net Banking,0,868,13,weekend,0
PAY00454,20454.37,0,0,card_declined,Card,0,796,12,weekend,0
PAY00229,1694.7,0,1,network_error,Card,1,261,4,weekday,1
PAY00353,2154.29,3,1,network_error,Card,1,963,6,weekday,1
PAY00729,1327.94,2,0,insufficient_funds,UPI,1,304,12,weekday,1
PAY00213,3592.33,0,1,bank_server_error,Card,1,485,18,weekday,1
PAY00080,2690.75,0,1,authentication_failed,Net Banking,1,414,13,weekday,1
PAY00149,8661.14,1,1,risk_declined,Card,1,529,0,weekday,0
PAY00303,7293.74,1,0,insufficient_funds,UPI,2,950,9,weekday,0
PAY00629,1445.22,2,1,network_error,Net Banking,0,125,23,weekend,1
PAY00778,4904.76,0,1,insufficient_funds,UPI,1,626,15,weekday,0
PAY00507,27388.29,0,1,insufficient_funds,Net Banking,1,464,21,weekday,1
PAY00343,3721.0,0,1,card_declined,UPI,1,1044,0,weekday,1
PAY00486,3028.04,2,0,card_declined,Card,1,814,0,weekend,0
PAY00712,6354.59,0,1,transaction_limit,Net Banking,0,379,1,weekday,0
PAY00134,2897.57,3,1,bank_server_error,UPI,1,1176,5,weekend,0
PAY00704,3334.6,0,1,customer_cancelled,UPI,1,589,15,weekday,1
PAY00312,5083.43,1,1,network_error,Card,0,541,20,weekend,1
PAY00723,503.65,1,1,network_error,UPI,1,884,5,weekday,1
PAY00630,450.18,0,1,transaction_limit,UPI,2,590,6,weekday,1
PAY00001,4534.76,1,0,risk_declined,UPI,0,413,9,weekday,0
PAY00317,3703.68,0,1,insufficient_funds,Net Banking,3,303,11,weekday,1
PAY00707,1614.09,3,1,bank_server_error,Net Banking,2,640,16,weekday,0
PAY00548,1485.14,1,1,network_error,Net Banking,2,740,6,weekday,1
PAY00873,6477.94,3,1,transaction_limit,Card,1,1101,4,weekday,0
PAY00533,2390.45,1,1,card_declined,Card,0,1269,0,weekend,1
PAY00478,1325.93,1,0,card_declined,Wallet,1,410,7,weekend,0
PAY00405,5450.76,2,1,expired_card,UPI,0,589,22,weekday,1
PAY00173,2377.45,0,1,authentication_failed,UPI,1,743,2,weekend,1
PAY00126,4740.31,1,0,timeout,UPI,1,857,8,weekday,1
PAY00395,6356.15,0,0,network_error,Net Banking,1,737,1,weekend,0
PAY00421,3785.09,1,1,authentication_failed,UPI,0,196,2,weekday,1
PAY00553,4502.88,0,0,network_error,Net Banking,0,297,7,weekday,0
PAY00904,13501.46,1,1,network_error,UPI,0,342,1,weekday,1
PAY00091,6161.62,2,1,timeout,Card,1,901,6,weekday,1
PAY00940,7307.03,0,0,authentication_failed,Net Banking,2,279,7,weekday,1
PAY00182,4217.48,0,1,card_declined,Card,2,420,11,weekday,1
PAY00275,13331.3,1,1,network_error,Card,0,617,12,weekday,0
PAY00896,8539.49,0,1,transaction_limit,UPI,1,618,13,weekend,0
PAY00070,2974.73,0,1,insufficient_funds,UPI,0,326,0,weekday,0
PAY00292,3984.62,2,1,network_error,Net Banking,1,621,12,weekend,1
PAY00132,1086.09,0,1,authentication_failed,Card,0,729,0,weekday,1
PAY00301,15195.67,0,1,card_declined,UPI,2,711,17,weekday,1
PAY00425,1645.18,1,1,timeout,UPI,0,758,17,weekend,1
PAY00327,919.92,1,0,bank_server_error,Card,3,878,6,weekend,1
PAY00145,1753.76,2,0,expired_card,UPI,2,818,19,weekend,0
PAY00424,994.32,3,0,card_declined,UPI,1,637,14,weekday,0
PAY00581,451.28,3,0,authentication_failed,Card,0,410,2,weekday,0
PAY00136,1476.27,1,0,transaction_limit,Card,0,315,8,weekday,0
PAY00451,3130.82,0,1,authentication_failed,UPI,2,1265,22,weekday,1
PAY00165,7138.33,1,0,customer_cancelled,UPI,0,599,10,weekend,1
PAY00029,4970.82,0,0,insufficient_funds,UPI,1,400,2,weekday,0
PAY00774,11031.94,2,0,card_declined,Net Banking,0,798,19,weekday,0
PAY00194,12121.62,1,0,insufficient_funds,Card,0,406,14,weekend,0
PAY00389,4426.44,0,1,insufficient_funds,Wallet,0,223,15,weekday,1
PAY00853,7576.67,1,1,transaction_limit,UPI,0,267,7,weekend,1
PAY00170,3380.81,1,0,timeout,Card,1,1093,20,weekend,1
PAY00706,1526.84,2,1,card_declined,UPI,0,748,2,weekday,1
PAY00141,4977.91,3,1,expired_card,Net Banking,2,941,23,weekend,0
PAY00174,1234.91,0,1,timeout,Card,0,462,1,weekday,1
PAY00007,3901.76,1,1,risk_declined,UPI,1,450,14,weekend,1
PAY00746,7721.24,0,1,card_declined,UPI,2,232,13,weekday,1
